"DCI";"DCI.Corrigée"
"CHLORHYDRATE DE CLINDAMYCINE";"CLINDAMYCINE"
"CHLORHYDRATE DE CLINDAMYCINE HYDRATÉ";"CLINDAMYCINE"
"CHLORHYDRATE DE DEXMÉDÉTOMIDINE";"DEXMÉDÉTOMIDINE"
"CHLORHYDRATE DE DOBUTAMINE";"DOBUTAMINE"
"CHLORHYDRATE DE DOXORUBICINE";"DOXORUBICINE"
"CHLORHYDRATE DE KÉTAMINE";"KÉTAMINE"
"CHLORHYDRATE DE LÉVOMÉPROMAZINE";"LÉVOMÉPROMAZINE"
"CHLORHYDRATE DE MIDAZOLAM";"MIDAZOLAM"
"CHLORHYDRATE DE MORPHINE";"MORPHINE"
"CHLORHYDRATE DE MOXIFLOXACINE";"MOXIFLOXACINE"
"CHLORHYDRATE DE PROGUANIL;PHOSPHATE DE CHLOROQUINE";"CHLOROQUINE"
"CHLORHYDRATE DE RÉMIFENTANIL";"RÉMIFENTANIL"
"CHLORHYDRATE DE VANCOMYCINE";"VANCOMYCINE"
"CHLORHYDRATE D'ÉPIRUBICINE";"ÉPIRUBICINE"
"CHLORHYDRATE D'HYDROXYZINE";"HYDROXYZINE"
"CHLORHYDRATE D'IRINOTÉCAN TRIHYDRATÉ";"IRINOTÉCAN"
"CHLORPROMAZINE (CHLORHYDRATE DE)";"CHLORPROMAZINE"
"CHLORURE D'AMBÉNONIUM";"AMBÉNONIUM"
"CHLORURE DE SUXAMÉTHONIUM";"SUXAMÉTHONIUM"
"CICLOSPORINE";"CICLOSPORINE"
"CILASTATINE SODIQUE;IMIPÉNEM MONOHYDRATÉ";"CILASTATINE;IMIPÉNEM"
"CIPROFLOXACINE";"CIPROFLOXACINE"
"CIPROFLOXACINE (CHLORHYDRATE DE)";"CIPROFLOXACINE"
"CITRATE DE DACARBAZINE";"DACARBAZINE"
"CITRATE DE FENTANYL";"FENTANYL"
"CITRATE DE SILDÉNAFIL";"SILDÉNAFIL"
"CITRATE DE SUFENTANIL";"SUFENTANIL"
"CLINDAMYCINE (CHLORHYDRATE DE) HYDRATÉ";"CLINDAMYCINE"
"CLINDAMYCINE (PHOSPHATE DE)";"CLINDAMYCINE"
"CLONIDINE (CHLORHYDRATE DE)";"CLONIDINE"
"CLORAZÉPATE DIPOTASSIQUE";"CLORAZÉPATE"
"DACARBAZINE";"DACARBAZINE"
"DALTÉPARINE SODIQUE";"DALTÉPARINE"
"DARUNAVIR";"DARUNAVIR"
"DARUNAVIR PROPYLÈNE GLYCOLATE";"DARUNAVIR"
"DASATINIB";"DASATINIB"
"DASATINIB MONOHYDRATÉ";"DASATINIB"
"DESFLURANE";"DESFLURANE"
"DÉSOXYRIBONUCLÉASE";"DÉSOXYRIBONUCLÉASE"
"DICHLORHYDRATE DE CÉFÉPIME MONOHYDRATÉ";"CÉFÉPIME"
"DITARTRATE DE VINORELBINE";"VINORELBINE"
"DOXORUBICINE (CHLORHYDRATE DE)";"DOXORUBICINE"
"ÉCULIZUMAB";"ÉCULIZUMAB"
"ÉPIRUBICINE (CHLORHYDRATE D')";"ÉPIRUBICINE"
"ÉPOPROSTÉNOL SODIQUE";"ÉPOPROSTÉNOL"
"ÉRYTHROMYCINE (ÉTHYLSUCCINATE D')";"ÉRYTHROMYCINE"
"ÉRYTHROMYCINE (LACTOBIONATE D')";"ÉRYTHROMYCINE"
"ÉRYTHROMYCINE DIHYDRATÉE";"ÉRYTHROMYCINE"
"ÉSILATE DE NINTÉDANIB";"NINTÉDANIB"
"ÉTHANOLATE DE DARUNAVIR";"DARUNAVIR"
"ÉTOMIDATE";"ÉTOMIDATE"
"ÉVÉROLIMUS";"ÉVÉROLIMUS"
"FENTANYL";"FENTANYL"
"FENTANYL (CITRATE DE)";"FENTANYL"
"GÉFITINIB";"GÉFITINIB"
"GENTAMICINE (SULFATE DE)";"GENTAMICINE"
"HYDROXY-4-BUTYRATE DE SODIUM";"GAMMA-OH"
"HYDROXYZINE (CHLORHYDRATE D')";"HYDROXYZINE"
"HYDROXYZINE (DICHLORHYDRATE DE)";"HYDROXYZINE"
"IMMUNOGLOBULINE DE LAPIN ANTI-THYMOCYTES HUMAINS";"IMMUNOGLOBULINE DE LAPIN ANTI-THYMOCYTES HUMAINS"
"INTERFÉRON BÊTA-1A";"INTERFÉRON BÊTA-1A"
"INTERFÉRON BÊTA-1A ;INTERFÉRON BÊTA-1A";"INTERFÉRON BÊTA-1A"
"IRINOTÉCAN (CHLORHYDRATE D') TRIHYDRATÉ";"IRINOTÉCAN"
"ISOFLURANE";"ISOFLURANE"
"KÉTAMINE (CHLORHYDRATE DE)";"KÉTAMINE"
"LACTOBIONATE D'ÉRYTHROMYCINE";"ÉRYTHROMYCINE"
"LÉVOFLOXACINE HÉMIHYDRATÉE";"LÉVOFLOXACINE"
"LÉVOTHYROXINE SODIQUE";"LÉVOTHYROXINE"
"LINÉZOLIDE";"LINÉZOLIDE"
"LOPINAVIR;RITONAVIR";"LOPINAVIR;RITONAVIR"
"LOXAPINE";"LOXAPINE"
"LOXAPINE BASE";"LOXAPINE"
"LUTÉCIUM (177LU) OXODOTRÉOTIDE";"LUTÉCIUM"
"MALÉATE ACIDE DE LÉVOMÉPROMAZINE";"LÉVOMÉPROMAZINE"
"MÉROPÉNEM TRIHYDRATÉ";"MÉROPÉNEM"
"MÉTILSULFATE DE NÉOSTIGMINE";"NÉOSTIGMINE"
"MIDAZOLAM";"MIDAZOLAM"
"MIFÉPRISTONE";"MIFÉPRISTONE"
"MISOPROSTOL";"MISOPROSTOL"
"MIVACURIUM (CHLORURE DE)";"MIVACURIUM"
"MORPHINE (SULFATE DE)";"MORPHINE"
"MYCOPHÉNOLATE SODIQUE";"MYCOPHÉNOLATE"
"NÉOSTIGMINE (MÉTILSULFATE DE)";"NÉOSTIGMINE"
"NORADRÉNALINE (TARTRATE DE)";"NORADRÉNALINE"
"OFLOXACINE";"OFLOXACINE"
"OMÉPRAZOLE";"OMÉPRAZOLE"
"OMÉPRAZOLE SODIQUE";"OMÉPRAZOLE"
"OSÉLTAMIVIR (PHOSPHATE D')";"OSÉLTAMIVIR"
"OXALIPLATINE";"OXALIPLATINE"
"PACLITAXEL";"PACLITAXEL"
"PARACÉTAMOL";"PARACÉTAMOL"
"PHOSPHATE DE CLINDAMYCINE";"CLINDAMYCINE"
"PHOSPHATE D'OSÉLTAMIVIR";"OSÉLTAMIVIR"
"PIPÉRACILLINE SODIQUE";"PIPÉRACILLINE"
"PIPÉRACILLINE SODIQUE;TAZOBACTAM SODIQUE";"PIPÉRACILLINE;TAZOBACTAM"
"PIRFÉNIDONE";"PIRFÉNIDONE"
"PORACTANT ALFA";"PORACTANT ALFA"
"PROPIONATE D'ÉRYTHROMYCINE";"ÉRYTHROMYCINE"
"PROPOFOL";"PROPOFOL"
"PYRIDOSTIGMINE (BROMURE DE)";"PYRIDOSTIGMINE"
"RIFAMPICINE";"RIFAMPICINE"
"RIFAMPICINE SODIQUE";"RIFAMPICINE"
"ROCURONIUM (BROMURE DE)";"ROCURONIUM"
"SALBUTAMOL (SULFATE DE)";"SALBUTAMOL"
"SARILUMAB";"SARILUMAB"
"SÉLEXIPAG";"SÉLEXIPAG"
"SÉVOFLURANE";"SÉVOFLURANE"
"SILDÉNAFIL (CITRATE DE)";"SILDÉNAFIL"
"SIROLIMUS";"SIROLIMUS"
"SODIUM (OXYBATE DE)";"SODIUM"
"SPIRAMYCINE";"SPIRAMYCINE"
"SPIRAMYCINE (ADIPATE DE)";"SPIRAMYCINE"
"SUCCINATE DE LOXAPINE";"LOXAPINE"
"SUFENTANIL (CITRATE DE)";"SUFENTANIL"
"SULFATE D'AMIKACINE";"AMIKACINE"
"SULFATE D'ATAZANAVIR";"ATAZANAVIR"
"SULFATE D'ATROPINE";"ATROPINE"
"SULFATE DE CHLOROQUINE";"CHLOROQUINE"
"SULFATE DE CIPROFLOXACINE";"CIPROFLOXACINE"
"SULFATE DE MORPHINE";"MORPHINE"
"SULFATE DE SALBUTAMOL";"SALBUTAMOL"
"SULFATE D'HYDROXYCHLOROQUINE";"HYDROXYCHLOROQUINE"
"SULPROSTONE";"SULPROSTONE"
"TACROLIMUS MONOHYDRATÉ";"TACROLIMUS"
"TADALAFIL";"TADALAFIL"
"TARTRATE D'ADRÉNALINE";"ADRÉNALINE"
"TARTRATE DE NORADRÉNALINE";"NORADRÉNALINE"
"TARTRATE DE VINORELBINE";"VINORELBINE"
"TÉICOPLANINE";"TÉICOPLANINE"
"THIOPENTAL ET CARBONATE SODIQUES";"THIOPENTAL"
"TOCILIZUMAB";"TOCILIZUMAB"
"TOLVAPTAN";"TOLVAPTAN"
"TOLVAPTAN;TOLVAPTAN";"TOLVAPTAN"
"TREPROSTINIL MONOHYDRATÉ";"TREPROSTINIL"
"VANCOMYCINE (CHLORHYDRATE DE)";"VANCOMYCINE"
"VORICONAZOLE";"VORICONAZOLE"
"ACETATE DE DEXAMETHASONE";"DEXAMÉTHASONE"
"ACÉTATE DE DEXAMÉTHASONE";"DEXAMÉTHASONE"
"ADRENALINE";"ADRÉNALINE"
"AMANTADINE (CHLORHYDRATE D')";"AMBRISENTAN"
"AMOXICILLINE TRIHYDRATEE";"AMOXICILLINE"
"ANAKINRA";"ANAKINRA"
"AZITHROMYCINE MONOHYDRATEE";"AZITHROMYCINE"
"BENSERAZIDE (CHLORHYDRATE DE);LEVODOPA";"BENSERAZIDE;LEVODOPA"
"BITARTRATE DE NICOTINE DIHYDRATE";"NICOTINE"
"BITARTRATE DE NICOTINE DIHYDRATÉ";"NICOTINE"
"BROMHYDRATE DE SCOPOLAMINE";"SCOPOLAMINE"
"BUDESONIDE";"BUDÉSONIDE"
"BUDÉSONIDE";"BUDÉSONIDE"
"BUDESONIDE;FUMARATE DE FORMOTEROL DIHYDRATE";"BUDÉSONIDE;FORMOTÉROL"
"BUDÉSONIDE;FUMARATE DE FORMOTÉROL DIHYDRATÉ";"BUDÉSONIDE;FORMOTÉROL"
"BUTYLBROMURE DE SCOPOLAMINE";"SCOPOLAMINE"
"CARBIDOPA ANHYDRE;ENTACAPONE;LEVODOPA";"CARBIDOPA;ENTACAPONE;LEVODOPA"
"CARBIDOPA MONOHYDRATE;ENTACAPONE;LEVODOPA";"CARBIDOPA;ENTACAPONE;LEVODOPA"
"CARBIDOPA MONOHYDRATEE;ENTACAPONE;LEVODOPA";"CARBIDOPA;ENTACAPONE;LEVODOPA"
"CARBIDOPA MONOHYDRATEE;LEVODOPA";"CARBIDOPA;LEVODOPA"
"CARBIDOPA;ENTACAPONE;LEVODOPA";"CARBIDOPA;ENTACAPONE;LEVODOPA"
"CATIORESINE CARBOXYLATE DE NICOTINE";"NICOTINE"
"CATIORÉSINE CARBOXYLATE DE NICOTINE";"NICOTINE"
"CEFOTAXIME SODIQUE";"CÉFOTAXIME"
"CHLORHYDRATE D'APOMORPHINE HEMIHYDRATE";"APOMORPHINE"
"CHLORHYDRATE DE BENSERAZIDE;LEVODOPA";"BENSERAZIDE;LEVODOPA"
"CHLORHYDRATE DE BIPERIDENE";"BIPERIDENE"
"CHLORHYDRATE DE CLINDAMYCINE HYDRATE";"CLINDAMYCINE"
"CHLORHYDRATE DE DEXMEDETOMIDINE";"DEXMÉDÉTOMIDINE"
"CHLORHYDRATE DE LEVOMEPROMAZINE";"LÉVOMÉPROMAZINE"
"CHLORHYDRATE DE NÉFOPAM";"NÉFOPAM"
"CHLORHYDRATE DE REMIFENTANIL";"RÉMIFENTANIL"
"CHLORHYDRATE DE ROPINIROLE";"ROPINIROLE"
"CHLORHYDRATE DE TIROFIBAN MONOHYDRATÉ";"TIROFIBAN"
"CHLORHYDRATE DE TRIHEXYPHENIDYLE";"TRIHEXYPHENIDYLE"
"CHLORURE D'AMBENONIUM";"AMBÉNONIUM"
"CHLORURE DE SUXAMETHONIUM";"SUXAMÉTHONIUM"
"CICLÉSONIDE";"CICLÉSONIDE"
"CITRATE DE TAMOXIFÈNE";"TAMOXIFÈNE"
"CLINDAMYCINE (CHLORHYDRATE DE) HYDRATE";"CLINDAMYCINE"
"CLONAZEPAM";"CLONAZÉPAM"
"CLONAZÉPAM";"CLONAZÉPAM"
"CLORAZEPATE DIPOTASSIQUE";"CLORAZÉPATE"
"DARUNAVIR PROPYLENE GLYCOLATE";"DARUNAVIR"
"DASATINIB MONOHYDRATE";"DASATINIB"
"DÉCANOATE D'HALOPÉRIDOL";"HALOPÉRIDOL"
"DESFLURANE/DDG9632ALU";"DESFLURANE"
"DEXAMETHASONE (PHOSPHATE SODIQUE DE)";"DEXAMÉTHASONE"
"DEXAMÉTHASONE (PHOSPHATE SODIQUE DE)";"DEXAMÉTHASONE"
"DIAZEPAM";"DIAZÉPAM"
"DIAZÉPAM";"DIAZÉPAM"
"DICHLORHYDRATE DE PRAMIPEXOLE MONOHYDRATE";"PRAMIPEXOLE"
"DINITRATE D'ISOSORBIDE";"ISOSORBIDE"
"ECULIZUMAB";"ÉCULIZUMAB"
"ENTACAPONE";"ENTACAPONE"
"ETHANOLATE DE DARUNAVIR";"DARUNAVIR"
"ETOMIDATE";"ÉTOMIDATE"
"GABAPENTINE";"GABAPENTINE"
"HALOPÉRIDOL";"HALOPÉRIDOL"
"HYDROCORTISONE";"HYDROCORTISONE"
"HYDROCORTISONE (HEMISUCCINATE SODIQUE D')";"HYDROCORTISONE"
"HYDROCORTISONE (HÉMISUCCINATE SODIQUE D')";"HYDROCORTISONE"
"HYDROCORTISONE (HYDROGENOSUCCINATE D')";"HYDROCORTISONE"
"HYDROCORTISONE (HYDROGÉNOSUCCINATE D')";"HYDROCORTISONE"
"IMATINIB (MESILATE D')";"IMATINIB"
"IMATINIB (MÉSILATE D')";"IMATINIB"
"INTERFERON BETA-1A";"INTERFÉRON BÊTA-1A"
"INTERFÉRON BÊTA-1B";"INTERFÉRON BÊTA-1B"
"ISOFLURANE/DDG9621";"ISOFLURANE"
"ISOFLURANE/DDG9623";"ISOFLURANE"
"IVERMECTINE";"IVERMECTINE"
"KETAMINE (CHLORHYDRATE DE)";"KÉTAMINE"
"LEVOFLOXACINE HEMIHYDRATEE";"LÉVOFLOXACINE"
"LEVOTHYROXINE SODIQUE";"LÉVOTHYROXINE"
"LÉVOTHYROXINE SODIQUE;LIOTHYRONINE SODIQUE";"LÉVOTHYROXINE;LIOTHYRONINE"
"LINEZOLIDE";"LINÉZOLIDE"
"LOSARTAN POTASSIQUE";"LOSARTAN"
"MALEATE ACIDE DE LEVOMEPROMAZINE";"LÉVOMÉPROMAZINE"
"MALÉATE DE TRIMÉBUTINE";"TRIMÉBUTINE"
"MESILATE DE BROMOCRIPTINE";"BROMOCRIPTINE"
"MESILATE D'IMATINIB";"IMATINIB"
"MÉSILATE D'IMATINIB";"IMATINIB"
"MÉTHOXYFLURANE";"MÉTHOXYFLURANE"
"MIFEPRISTONE";"MIFÉPRISTONE"
"MILRINONE";"MILRINONE"
"MYCOPHENOLATE MOFETIL";"MYCOPHÉNOLATE"
"MYCOPHÉNOLATE MOFÉTIL";"MYCOPHÉNOLATE"
"MYCOPHENOLATE MOFETIL (CHLORHYDRATE DE)";"MYCOPHÉNOLATE"
"MYCOPHÉNOLATE MOFÉTIL (CHLORHYDRATE DE)";"MYCOPHÉNOLATE"
"MYCOPHENOLATE SODIQUE";"MYCOPHÉNOLATE"
"NAPROXENE";"NAPROXÈNE"
"NAPROXÈNE";"NAPROXÈNE"
"NAPROXENE SODIQUE";"NAPROXÈNE"
"NAPROXÈNE SODIQUE";"NAPROXÈNE"
"NICOTINE";"NICOTINE"
"NICOTINE (CATIORESINE CARBOXYLATE DE)";"NICOTINE"
"NICOTINE (CATIORÉSINE CARBOXYLATE DE)";"NICOTINE"
"NICOTINE (RESINATE DE)";"NICOTINE"
"NICOTINE (RÉSINATE DE)";"NICOTINE"
"NICOTINE POLACRILEX";"NICOTINE"
"NICOTINE-BETADEX (COMPLEXE)";"NICOTINE"
"NICOTINE-BÉTADEX (COMPLEXE)";"NICOTINE"
"NIVOLUMAB";"NIVOLUMAB"
"OXAZÉPAM";"OXAZÉPAM"
"PARACETAMOL";"PARACÉTAMOL"
"PIRFENIDONE";"PIRFÉNIDONE"
"PIRIBEDIL";"PIRIBEDIL"
"PRAMIPEXOLE (DICHLORHYDRATE DE) MONOHYDRATE";"PRAMIPEXOLE"
"PRAZÉPAM";"PRAZÉPAM"
"RESINATE DE NICOTINE";"NICOTINE"
"RÉSINATE DE NICOTINE";"NICOTINE"
"ROPINIROLE (CHLORHYDRATE DE)";"ROPINIROLE"
"ROTIGOTINE";"ROTIGOTINE"
"SCOPOLAMINE;SCOPOLAMINE";"SCOPOLAMINE"
"SÉVOFLURANE/DDG9117";"SÉVOFLURANE"
"SÉVOFLURANE/DDG9117SV";"SÉVOFLURANE"
"SEVORANE";"SÉVOFLURANE"
"TAMOXIFÈNE (CITRATE DE)";"TAMOXIFÈNE"
"TARTRATE D'ADRENALINE";"ADRÉNALINE"
"TARTRATE DE NORADRENALINE";"NORADRÉNALINE"
"TELMISARTAN";"TELMISARTAN"
"TIROFIBAN";"TIROFIBAN"
"TOLCAPONE";"TOLCAPONE"
"TRIHEXYPHENIDYLE (CHLORHYDRATE DE)";"TRIHEXYPHENIDYLE"
"TROPATEPINE (CHLORHYDRATE DE)";"TROPATEPINE"
"AZITHROMYCINE DIHYDRATEE";"AZITHROMYCINE"
