"CIP7";"Dosage";"Unites"
3004260;"200mg";60
3004262;"300mg";30
3004322;"500mg";16
3004451;"50mg";14
3004452;"50mg";28
3004453;"200mg";14
3004454;"200mg";28
3004455;"200mg";56
3004532;"500mg";16
3005497;"0.1mg/mL;10mL";10
3005586;"600mg";10
3005670;"50mg";28
3005673;"50mg";56
3005678;"200mg";14
3005680;"200mg";28
3005684;"200mg";56
3005710;"200mg";1
3005715;"200mg";1
3005916;"50mg";56
3005919;"200mg";56
3006002;"100mg;25mg";60
3006004;"200mg;50mg";120
3006005;"500mg;500mg";1
3006011;"400mg";5
3006012;"400mg";7
3006127;"600mg";10
3006301;"50mg";56
3006306;"2000mg;500mg";10
3006513;"10mg";4
3006515;"20mg";4
3006516;"20mg";8
3006907;"125mg";56
3006908;"62,5mg";56
3006909;"500mg";12
3006965;"1mg";1
3007124;"62,5mg";56
3007146;"20mg";90
3007320;"125mg";56
3007352;"20mg";30
3007353;"40mg";30
3007354;"60mg";30
3007415;"4,3mg/mL;10mL";1
3007458;"1000mg";6
3007459;"1000mg";14
3007657;"500mg";12
3008016;"200mg";14
3008017;"200mg";28
3008018;"200mg";56
3008026;"5mg";28
3008027;"10mg";4
3008028;"20mg";4
3008029;"20mg";8
3008098;"20mg";56
3008127;"10mg";4
3008138;"20mg";4
3008139;"20mg";8
3008493;"400mg";60
3008495;"600mg";60
3008497;"800mg";30
3008618;"600mg";10
3008780;"20mg";90
3008820;"5mg";84
3008830;"600mg";60
3008832;"800mg";30
3008878;"500mg";16
3008969;"10mg";4
3008975;"20mg";4
3008977;"20mg";8
3009293;"30mg";10
3009296;"45mg";10
3009297;"75mg";10
3009395;"2,5mg";28
3009410;"5mg";28
3009412;"5mg";84
3009423;"10mg";4
3009443;"20mg";4
3009446;"20mg";8
3009638;"1000mg";1
3009842;"2,5mg";28
3009857;"5mg";28
3009965;"2,5mg";28
3009968;"5mg";28
3009969;"5mg";84
3009971;"10mg";4
3009974;"20mg";4
3009975;"20mg";8
3010007;"5mg";84
3010010;"10mg";4
3010020;"5mg";28
3010023;"10mg";4
3010026;"20mg";4
3010027;"20mg";8
3010038;"20mg";4
3010041;"20mg";8
3010060;"150mg";2
3010061;"200mg";2
3010062;"150mg";2
3010063;"200mg";2
3010136;"600mg";10
3010237;"20mg";24
3010478;"600mg";60
3010805;"125mg";1
3010811;"250mg";1
3010819;"500mg";1
3010922;"267mg";252
3010923;"801mg";84
3011279;"1000mg";6
3011281;"1000mg";14
3011380;"400mg";5
3011382;"400mg";7
3011459;"20mg";90
3011461;"20mg";90
3011472;"1000mg";6
3011473;"1000mg";14
3011729;"20mg/mL;80mg/mL;60mL";2
3011761;"2,5mg";30
3011763;"5mg";30
3011767;"10mg";30
3012139;"800mg";30
3012257;"5mg";28
3012259;"10mg";4
3012260;"20mg";4
3012261;"20mg";8
3012549;"800mg";30
3012667;"1mg/mL;5mL";10
3012706;"400mg";60
3012708;"600mg";60
3012755;"400mg";60
3012761;"600mg";60
3012766;"800mg";30
3012833;"20mg";90
3013054;"5mg";28
3013058;"20mg";8
3013551;"62,5mg";56
3013554;"125mg";56
3013667;"1mg";60
3013819;"20mg";90
3013841;"400mg";1
3013843;"600mg";1
3013845;"800mg";1
3013928;"10mg";4
3013932;"20mg";4
3013933;"20mg";8
3014188;"20mg";56
3014223;"2000mg";10
3014454;"10mg";4
3014458;"20mg";4
3014459;"20mg";8
3014524;"20mg";24
3014552;"162mg/0,9mL";4
3014558;"30mg/mL";1
3014753;"150mg";12
3014756;"300mg";16
3015240;"2,5mg";30
3015242;"5mg";30
3015244;"10mg";30
3015262;"2,5mg";30
3015264;"5mg";30
3015266;"10mg";30
3015267;"2,5mg";30
3015269;"5mg";30
3015271;"10mg";30
3015328;"10mg";30
3015334;"150mg";1
3015335;"5mg";30
3015337;"300mg";1
3015486;"250mg";30
3015500;"250mg";30
3015501;"250mg";30
3015510;"250mg";30
3015666;"250mg";30
3015698;"250mg";30
3015755;"400mg";1
3015756;"600mg";60
3015757;"800mg";30
3015909;"400mg";5
3015910;"400mg";7
3015913;"2,5mg";30
3016076;"1mg";1
3016077;"2,5mg";1
3016080;"5mg";1
3016081;"10mg";1
3016149;"150mg";60
3016151;"200mg";60
3016153;"300mg";30
3016327;"300mg";30
3016334;"200mg";10
3016339;"300mg";30
3016340;"200mg";10
3016347;"250mg";30
3016392;"140mg";30
3016398;"100mg";30
3016405;"70mg";60
3016413;"50mg";60
3016417;"20mg";60
3016463;"600mg";2
3016464;"800mg";1
3016597;"150mg";60
3016602;"300mg";30
3016709;"250mg";30
3016747;"5mg";84
3016832;"250mg";30
3017008;"500mg";16
3017157;"400mg";60
3017162;"600mg";1
3017166;"800mg";1
3017872;"200mg";1
3018218;"300mg";1
3066809;"75mg";12
3066815;"150mg";12
3069848;"10mg";1
3073100;"100mg";10
3073117;"100mg";20
3087036;"0,5mg";6
3091500;"300mg";30
3091629;"300mg";30
3118676;"2000mg";1
3124168;"1500000UI";16
3158753;"500mg";12
3195317;"1mg/mL;1mL";10
3211105;"125mg";1
3211128;"250mg";1
3223887;"500mg";20
3225260;"1000mg";1
3230002;"500mg";1
3232018;"500mg";16
3233153;"500mg";12
3234520;"500mg";12
3242554;"250mg";24
3242560;"125mg";24
3254445;"500mg";1
3256757;"500mg";16
3257001;"500mg";16
3258615;"500mg";16
3265696;"1000mg";1
3267488;"1000mg";1
3267525;"1000mg";1
3267904;"500mg";16
3269501;"80mg";1
3269518;"160mg";1
3269524;"40mg";1
3269530;"10mg";1
3273649;"500mg";16
3273655;"600mg";10
3290205;"500mg";16
3290323;"200mg";10
3292227;"500mg";16
3299293;"0,5mg";6
3299324;"0,5mg";6
3301073;"5000UIantiXa";2
3301096;"2500UIantiXa";2
3304025;"1000mg;200mg";1
3304746;"1000mg";8
3305496;"1000mg";6
3307199;"500mg";16
3308483;"500mg";12
3312941;"250mg";10
3318441;"50mg";1
3318458;"50mg";10
3319038;"10mg";1
3319044;"10mg";10
3324708;"3MUI";10
3329522;"100mg;12,5mg";1
3331401;"100mg;12,5mg";1
3332352;"10mg";14
3332369;"30mg";14
3332375;"60mg";14
3332381;"100mg";14
3333251;"500mg";16
3338194;"30mg/mL";1
3338811;"500mg";16
3340802;"10mg";1
3340825;"50mg";1
3347997;"7,5mg";14
3348005;"15mg";14
3351639;"500mg";16
3352981;"5000UIantiXa";6
3353012;"2500UIantiXa";6
3357814;"250mg";20
3357820;"250mg";40
3358771;"2mg/mL;5mL";1
3358788;"2mg/mL;25mL";1
3365239;"500mg";1
3373061;"7500UIantiXa";2
3373084;"10000UIantiXa";2
3376668;"500mg";16
3379922;"2,063mg";5
3385704;"500mg";12
3385868;"125mg";1
3385880;"250mg";1
3385905;"500mg";1
3390533;"80mg";12
3390556;"80mg";10
3390562;"150mg";12
3390579;"150mg";10
3390585;"300mg";10
3391248;"200mg";2
3398635;"1,5mg";20
3400390;"250mg";12
3402130;"10mg/mL;1mL";10
3405370;"200mg";14
3406033;"0,100mg";1
3410365;"300mg";16
3417172;"1000mg";14
3421297;"7500UIantiXa";10
3421305;"10000UIantiXa";10
3422859;"1000mg";1
3423830;"4,2mg";5
3423847;"8,4mg";5
3423853;"12,6mg";5
3423876;"16,8mg";5
3429123;"10mg/mL;5mL";10
3429146;"20mg/mL;5mL";10
3430066;"150mg";14
3432326;"0,030mg";4
3433372;"600mg";8
3438725;"10mg";10
3438748;"30mg";10
3438760;"100mg";10
3439251;"100mg;12,5mg";1
3441093;"20mg/mL;1mL";10
3441940;"500mg";1
3443382;"1000mg";6
3443399;"1000mg";14
3443873;"0,100mg";1
3445085;"1000mg;125mg";8
3445116;"1000mg;125mg";12
3450778;"500mg";16
3461227;"10mg";1
3461256;"50mg";1
3461546;"24mg/mL";1
3462652;"1000mg";1
3462675;"1000mg";1
3463048;"25mg";60
3463054;"50mg";60
3463060;"100mg";60
3463077;"10mg";60
3463315;"100mg";1
3473058;"500mg";16
3474170;"0,022mg";12
3480911;"100mg";10
3480940;"150mg";10
3480986;"200mg";10
3481017;"300mg";10
3482152;"500mg";16
3491317;"500mg";12
3495137;"5mg";14
3496556;"500mg";5
3499000;"10mg";14
3499129;"20mg";14
3499230;"30mg";14
3499833;"100mg";12
3499879;"150mg";12
3499916;"200mg";12
3499945;"300mg";12
3507745;"1000mg;200mg";10
3508093;"0,044mg";12
3508182;"500mg;50mg";10
3508207;"2000mg;200mg";10
3512025;"10mg";10
3512031;"40mg";10
3512048;"80mg";10
3512054;"160mg";10
3517732;"250mg";6
3517755;"250mg";6
3517778;"250mg";4
3521202;"500mg";12
3525186;"500mg";1
3525192;"250mg";1
3525200;"125mg";1
3525217;"500mg";1
3525223;"250mg";1
3525246;"125mg";1
3529103;"1000mg";8
3529178;"1000mg";8
3529422;"1000mg";8
3529439;"1000mg";8
3532074;"2,5mg";60
3532111;"5mg";60
3533702;"500mg;62,5mg";16
3533725;"500mg;62,5mg";24
3533754;"500mg;62,5mg";16
3533777;"500mg;62,5mg";24
3533872;"1000mg;125mg";8
3533895;"1000mg;125mg";12
3535575;"100mg;12,5mg";1
3545131;"50mg";100
3550451;"1000mg";20
3554791;"1000mg";1
3554839;"1000mg";1
3556726;"1000mg";1
3556755;"500mg";1
3556896;"1000mg";1
3556927;"500mg";1
3558286;"1000mg";6
3558292;"1000mg";14
3558978;"500mg";16
3559050;"1000mg";1
3559914;"500mg";16
3561621;"2000mg";5
3561992;"50mg/mL;10mL";1
3562017;"50mg/mL;10mL";10
3562069;"1mg/mL;1mL";10
3565642;"40mg";1
3565659;"40mg";1
3566819;"20mg/mL;80mg/mL;60mL";5
3568468;"1000mg";14
3568847;"1mg";1
3574380;"500mg";1
3574405;"1000mg";1
3574486;"1000mg";1
3576568;"500mg";12
3576574;"500mg";1
3576580;"250mg";1
3576597;"125mg";1
3580630;"0,200mg";3
3580682;"0,400mg";3
3580736;"0,600mg";3
3581753;"500mg";16
3581836;"1000mg";25
3584266;"0,100mg";1
3584349;"0,800mg";3
3584384;"1200microgrammes";3
3584421;"1600microgrammes";3
3584817;"500mg";16
3587572;"5mg";50
3589571;"1mg";50
3589588;"0,5mg";50
3592219;"0,3mg";1
3592231;"1mg";1
3592886;"50mg";28
3592892;"50mg";56
3592900;"200mg";14
3592917;"200mg";28
3592923;"200mg";56
3592946;"200mg";1
3594827;"100mg;12,5mg";1
3594833;"100mg;12,5mg";1
3594856;"100mg;12,5mg";1
3594862;"100mg;12,5mg";1
3594891;"100mg;12,5mg";1
3594916;"100mg;12,5mg";1
3595258;"250mg";10
3595270;"500mg";50
3595293;"1g/5mL";1
3595301;"1mg";30
3595583;"1000mg";8
3597978;"1000mg";6
3597984;"1000mg";14
3598038;"1000mg";1
3598133;"1000mg";1
3599629;"75mg";10
3599753;"1000mg";8
3601303;"3mg";1
3602722;"100mg;12,5mg";1
3602739;"100mg;12,5mg";1
3603087;"200mg";10
3603584;"125mg";1
3603590;"250mg";1
3603609;"500mg";1
3605666;"1000mg";1
3605703;"1000mg";1
3608794;"500mg;62,5mg";16
3608802;"500mg;62,5mg";24
3608908;"500mg;62,5mg";16
3608914;"500mg;62,5mg";24
3610064;"500mg;62,5mg";16
3610070;"500mg;62,5mg";24
3611276;"500mg";12
3611508;"500mg";16
3612703;"250mg";12
3612732;"500mg";12
3612838;"500mg";12
3612844;"250mg";12
3613335;"500mg";16
3615044;"1000mg";1
3615682;"2mg";30
3615883;"1000mg";8
3616279;"60mg";20
3616670;"200mg";10
3617385;"500mg";16
3617988;"200mg";10
3618019;"1000mg";1
3619622;"100mg;12,5mg";1
3623842;"200mg";10
3624669;"1000mg";8
3624675;"1000mg";8
3624698;"1000mg";8
3624994;"0,200mg";2
3625657;"500mg";16
3627550;"500mg";16
3628489;"1000mg";1
3630871;"180mg";120
3630919;"360mg";120
3631830;"500mg";16
3633668;"1000mg";8
3635839;"200mg";10
3638068;"1000mg;125mg";8
3638074;"1000mg;125mg";12
3638157;"1000mg";8
3638163;"1000mg";8
3638186;"1000mg";8
3638192;"1000mg";8
3638424;"250mg";12
3638430;"500mg";12
3640438;"150mg";10
3640450;"200mg";10
3640616;"40mg";1
3641030;"0,75mg";60
3641082;"0,5mg";60
3641113;"0,25mg";60
3641159;"0,1mg";60
3641188;"0,25mg";60
3641202;"0,100mg";1
3641219;"0,100mg";1
3641432;"25mg";50
3641490;"50mg";100
3642934;"250mg";12
3642963;"500mg";12
3643081;"500mg";12
3643098;"250mg";12
3643158;"0,5mg";10
3643193;"1mg";10
3643247;"0,25mg";10
3643299;"1mg/mL;5mL";10
3643336;"1mg/mL;20mL";10
3643365;"0,50mg/mL;1mL";10
3643394;"0,25mg/mL;1mL";10
3644146;"200mg";30
3645298;"200mg";10
3646748;"2500U(2,5mg)";6
3646754;"2500U(2,5mg)";30
3648546;"1000mg";8
3651347;"200mg";3
3653174;"0,25mg";10
3653180;"0,25mg";100
3653197;"0,5mg";10
3653205;"0,5mg";100
3653211;"1mg";10
3653228;"1mg";100
3655718;"1000mg";8
3656221;"1000mg;125mg";8
3656238;"1000mg;125mg";12
3656273;"500mg;62,5mg";16
3656296;"500mg;62,5mg";24
3656327;"1000mg;125mg";8
3656333;"1000mg;125mg";12
3656646;"5mg";60
3656847;"500mg";16
3657806;"1,25mg";20
3657953;"2,5mg";60
3658013;"5mg";60
3658243;"250mg";1
3658438;"2,5mg";60
3658728;"20mg";1
3659484;"20mg";1
3659490;"30mg";1
3666573;"500mg";1
3668307;"500mg;62,5mg";16
3668313;"500mg;62,5mg";24
3670801;"1000mg;125mg";8
3670818;"1000mg;125mg";12
3671611;"200mg";10
3672467;"250mg";12
3672473;"500mg";12
3673047;"500mg";16
3673188;"500mg;62,5mg";16
3673194;"500mg;62,5mg";24
3673202;"100mg;12,5mg";1
3673231;"500mg;62,5mg";16
3673248;"500mg;62,5mg";24
3673610;"250mg";1
3673627;"500mg";1
3673633;"500mg";12
3673751;"500mg";16
3674265;"1000mg";6
3674271;"1000mg";14
3674408;"500mg";1
3674414;"1000mg";1
3674420;"500mg";1
3674437;"1000mg";1
3674489;"250mg";12
3674495;"500mg";12
3678234;"250mg";12
3678317;"500mg";12
3679601;"500mg";12
3680343;"100mg;12,5mg";1
3682112;"250mg";12
3682230;"500mg";12
3686110;"1000mg;200mg";10
3686239;"2000mg;200mg";10
3688296;"125mg";1
3688818;"500mg;50mg";10
3688847;"1000mg;100mg";10
3689717;"20mg/mL;1mL";10
3690040;"10mg/mL;1mL";10
3690198;"1mg/mL;1mL";10
3690577;"40mg/mL;10mL";10
3690614;"0.1mg/mL;5mL";10
3690755;"10mg/mL;1mL";10
3691068;"10mg/mL;1mL";10
3691105;"10mg/mL;5mL";10
3691163;"10mg/mL;10mL";10
3691921;"2000mg;250mg";1
3691944;"4000mg;500mg";1
3692085;"1000mg";1
3692369;"600mg";1
3694612;"1000mg";8
3698515;"2,1mg";5
3701341;"0,25mg";10
3701364;"0,5mg";10
3701387;"1mg";10
3702292;"500mg";1
3702300;"1000mg";1
3702346;"2000mg";1
3702352;"500mg";1
3702406;"20mg";90
3723265;"250mg";1
3723288;"500mg";1
3723302;"1000mg";1
3723325;"2000mg";1
3740677;"1000mg";8
3741547;"0,5mg";50
3745999;"250mg";6
3746059;"3MUI";10
3746088;"3MUI";16
3746119;"3MUI";10
3746148;"3MUI";16
3748532;"1mg";50
3748561;"5mg";50
3750144;"500mg;62,5mg";16
3750150;"500mg;62,5mg";24
3750925;"4000mg;500mg";1
3751511;"75mg";84
3752746;"500mg";5
3759027;"8,8microgrammes;22microgrammes";6
3759524;"100mg;12,5mg";1
3759530;"100mg;12,5mg";1
3762271;"200mg";1
3763419;"3MUI";10
3763425;"3MUI";16
3763431;"3MUI";10
3763448;"3MUI";16
3763454;"3MUI";10
3763460;"3MUI";16
3763477;"3MUI";10
3763483;"3MUI";16
3767340;"200mg";10
3767469;"200mg";10
3769356;"200mg";10
3771117;"500mg";16
3773412;"500mg;62,5mg";16
3773429;"500mg;62,5mg";24
3773642;"1000mg;125mg";8
3773659;"1000mg;125mg";12
3773748;"100mg;12,5mg";1
3773754;"100mg;12,5mg";1
3774831;"1000mg";1
3776379;"20mg";60
3776416;"50mg";60
3776445;"70mg";60
3776468;"2000mg;200mg";10
3776511;"1000mg;200mg";10
3778438;"30mg/mL";1
3780375;"1000mg";1
3780381;"2000mg";1
3780412;"1000mg";1
3786107;"500mg;50mg";10
3791025;"100mg;12,5mg";1
3792007;"50mg";100
3792094;"500mg";16
3793538;"250mg";6
3794549;"250mg";6
3794578;"250mg";6
3802556;"250mg";6
3806927;"0,5mg";30
3806962;"1mg";30
3806991;"5mg";30
3809239;"5mg";5
3809334;"250mg";12
3809363;"500mg";12
3809541;"500mg";12
3812313;"2000mg;250mg";1
3812342;"2000mg;250mg";10
3812939;"4000mg;500mg";1
3812968;"4000mg;500mg";10
3814950;"2,89mg";5
3818304;"1000mg";1
3818333;"2000mg";1
3819686;"500mg";16
3819723;"1000mg";8
3819806;"1000mg";8
3819829;"1000mg";8
3820057;"500mg";16
3820152;"30mg";10
3820169;"45mg";10
3821341;"1000mg;200mg";10
3821387;"250mg";6
3821855;"500mg;100mg";10
3822085;"2000mg;200mg";10
3822122;"500mg;50mg";10
3824061;"250mg";6
3826723;"1000mg";8
3833700;"500mg;500mg";1
3840982;"500mg";12
3841007;"500mg";16
3841295;"500mg";16
3844187;"5mg/mL;20mL";1
3844201;"100mg;25mg";60
3844336;"1000mg";6
3844342;"1000mg";14
3848788;"300mg";1
3850041;"250mg";100
3850064;"500mg";50
3850934;"4,125mg";5
3850957;"8,25mg";5
3850986;"12,375mg";5
3851023;"16,5mg";5
3852531;"500mg";16
3854990;"50mg";100
3855185;"500mg";12
3861493;"1000mg";1
3865048;"1,38mg";5
3865108;"2,75mg";5
3865172;"5,5mg";5
3865232;"8,25mg";5
3865284;"11mg";5
3865781;"5mg";30
3865806;"10mg";30
3868259;"100mg;12,5mg";1
3869804;"100mg;12,5mg";1
3871043;"500mg";16
3876282;"250mg";4
3878306;"1000mg";10
3882911;"1000mg";6
3882934;"1000mg";14
3884962;"300mg";12
3886346;"300mg";12
3886352;"500mg";12
3886369;"1000mg";8
3895368;"2,5mg";60
3895411;"5mg";60
3895693;"2000mg;250mg";1
3895730;"4000mg;500mg";1
3899797;"200mg";1
3906066;"0,05mg";60
3906238;"1000mg";1
3906296;"2000mg";1
3906959;"500mg";12
3906971;"1000mg";8
3910429;"0,100mg";10
3910435;"0,100mg";30
3910441;"0,200mg";10
3910458;"0,200mg";30
3910464;"0,300mg";10
3910470;"0,300mg";30
3910487;"0,400mg";10
3910493;"0,400mg";30
3910518;"0,600mg";30
3910576;"0,800mg";30
3911015;"500mg";5
3915958;"100mg";30
3920741;"1000mg";6
3920787;"1000mg";14
3921404;"2000mg;250mg";1
3921427;"2000mg;250mg";10
3921433;"2000mg;250mg";1
3921462;"2000mg;250mg";10
3921479;"4000mg;500mg";1
3921491;"4000mg;500mg";10
3922071;"0,100mg";4
3922088;"0,100mg";28
3922094;"0,200mg";4
3922102;"0,200mg";28
3922125;"0,400mg";28
3922148;"0,600mg";28
3922160;"0,800mg";28
3931383;"400mg";60
3931408;"600mg";60
3931466;"0,066mg";4
3931472;"0,132mg";4
3932282;"250mg";6
3936570;"2000mg;250mg";1
3936587;"2000mg;250mg";10
3936630;"4000mg;500mg";1
3936647;"4000mg;500mg";10
3939054;"5,78mg";5
3939114;"11,56mg";5
3939189;"17,34mg";5
3939232;"23,12mg";5
3949791;"500mg";5
3949874;"500mg";5
3950096;"250mg";6
3953427;"1mg/mL;10mL";10
3953462;"3mg";30
3953479;"500mg";3
3958028;"500mg";5
3958229;"500mg";5
3958413;"500mg";5
3959482;"0,2mg";50
3959499;"1mg";50
3959507;"250mg";30
3959513;"75mg";480
3959536;"150mg";240
3962811;"5mg";30
3962828;"10mg";30
3964098;"4,125mg";5
3964135;"16,5mg";5
3964170;"8,25mg";5
3969925;"12,375mg";5
3971187;"0,500mg";1
3971193;"1mg";1
3971201;"0,200mg";1
3974300;"7500UIantiXa";10
3974323;"12500UIantiXa";5
3974346;"15000UIantiXa";5
3974352;"18000UIantiXa";5
3979645;"500mg";5
3984362;"2,063mg";5
3984451;"4,125mg";5
3984534;"8,25mg";5
3984646;"12,375mg";5
3988271;"500mg";5
3988319;"500mg";5
3990339;"16,5mg";5
3991149;"500mg";5
4150908;"1000mg";8
4151150;"500mg";16
4153396;"1000mg";8
4153404;"1000mg";8
4163124;"1000mg";8
4163182;"500mg";16
4184557;"1000mg";1
4184563;"1000mg";10
4196431;"500mg";5
4900107;"100mg";60
4900109;"100mg";60
4900145;"0,100mg";1
4900162;"50mg";100
4900169;"250mg";6
4900200;"0,100mg";1
4900228;"50mg";100
4900247;"50mg";100
4900268;"50mg";60
4900568;"500mg";5
4911543;"500mg";16
4912525;"1000mg";10
4917273;"500mg;500mg";1
4917296;"500mg;500mg";10
4917959;"250mg";100
4921211;"250mg";100
4924451;"500mg";50
4925019;"10000UIantiXa";5
4929715;"500mg";50
4930457;"0,51mg";30
4940964;"200mg;50mg";120
4946174;"140mg";30
4946599;"250mg";100
4946636;"500mg";50
4947512;"500mg";10
4947564;"1000mg";10
4947618;"2000mg";10
4950448;"250mg";10
4950454;"500mg";50
4964255;"1,5mg";20
4966633;"1mg";1
4966662;"4mg";1
4979392;"500mg";50
4991430;"2,75mg";5
4991453;"5,5mg";5
4991482;"8,25mg";5
4991559;"11mg";5
5500025;"0,100mg";5
5500095;"100mg";20
5500271;"600mg";10
5500314;"500mg";100
5500343;"62,5mg";56
5500346;"125mg";56
5500417;"10mg/mL;5mL";10
5500653;"2mg/mL;300mL";10
5500774;"500mg";100
5500909;"2mg/mL;300mL";10
5500942;"62,5mg";56
5500944;"125mg";56
5501092;"0,100mg";5
5501374;"2000mg";10
5501417;"2mg/mL;2,5mL";5
5501419;"2mg/mL;5mL";5
5501421;"2mg/mL;10mL";5
5501425;"5mg/mL;30mL";1
5501475;"1000mg";80
5501478;"0,015mg";20
5501521;"200mg";1
5501590;"100mg";1
5502311;"125mg";56
5502371;"500mg";10
5502375;"1000mg";10
5502439;"62,5mg";56
5502442;"125mg";56
5502665;"37,5mg";1
5502666;"6,75mg";1
5502711;"37,5mg";1
5502983;"150mg";12
5502984;"300mg";16
5503111;"6,75mg";1
5503112;"37,5mg";1
5503196;"500mg;500mg";10
5503398;"75mg";1
5503399;"20mg/mL;25mL";1
5503400;"20mg/mL;50mL";1
5503708;"500mg;500mg";10
5503751;"1000mg";10
5503755;"2000mg";10
5503760;"500mg";10
5504211;"470mg";10
5504216;"940mg";10
5504234;"20mg/mL;2mL";1
5504235;"20mg/mL;5mL";1
5504236;"20mg/mL;15mL";1
5504237;"20mg/mL;25mL";1
5504757;"1ml";6
5504953;"0,025mg";8
5505203;"10mg/mL;2,5mL";5
5505205;"10mg/mL;5mL";5
5505543;"5mg/mL;50mL";20
5505544;"5mg/mL;100mL";20
5505575;"1000mg";1
5505661;"10mg/mL;5mL";10
5505724;"0,1mg/mL;2mL";5
5505729;"0,1mg/mL;5mL";5
5505731;"0,1mg/mL;10mL";5
5505908;"400mg";50
5505954;"0,1mg/mL;2mL";25
5506059;"500mg";1
5506060;"1000mg";1
5506176;"10mg/mL;5mL";10
5506799;"2mg/mL;2,5mL";5
5506800;"2mg/mL;5mL";5
5506801;"2mg/mL;10mL";5
5524995;"2000mg";10
5528059;"1000mg";1
5535326;"10mg/mL;1mL";100
5535332;"20mg/mL;1mL";100
5536656;"300mg";60
5545796;"50mg";10
5546057;"1mg";5
5546086;"5mg";10
5547335;"500mg";10
5552520;"0,5mg";1
5553063;"500mg";100
5554298;"200mg";50
