"CIP7";"Forme_long";"DCI_long";"Laboratoire";"CIP13";"CIS";"Specialite";"Presentation";"Stock";"Ventes.S.1";"Conso.usuelle";"Appro.S15";"Appro.S16";"Appro.S17";"Appro.S18";"Appro.S19";"Appro.S20";"Appro.S21";"Date";"Ventes.J.1";"Appro.S22";"Appro.S23";"Ventes.mensuelles";"DCI";"Forme";"Dosage_wrong";"Unites_wrong";"Dosage";"Unites";"Dose_mg";"Equiv_Factor";"Stock_U";"Ventes.J.1_U";"Stock_U_equiv"
2209299;"suspension pour inhalation par nébuliseur";"BUDÉSONIDE";"MYLAN";"3400922092997";"60724061";"BUDESONIDE MYLAN 1 mg/2 ml, suspension pour inhalation par nébuliseur en récipient unidose";"20 récipient(s) unidose(s) polyéthylène basse densité (PEBD) de 2 ml";94656;"1237";"14965.25";NA;NA;NA;"0";"0";"0";"0";2020-04-23;NA;"0";"0";NA;"BUDÉSONIDE";"Forme inhalable";"1mg";20;"1mg";20;1;15.625;1893120;NA;29580000
2209299;"suspension pour inhalation par nébuliseur";"BUDESONIDE";"MYLAN";"3400922092997";"60724061";"BUDESONIDE MYLAN 1 mg/2 ml, suspension pour inhalation par nébuliseur en récipient unidose";"20 récipient(s) unidose(s) polyéthylène basse densité (PEBD) de 2 ml";93842;"676";"14965.25";NA;NA;NA;NA;"0";"0";"0";2020-05-04;NA;"0";"0";NA;"BUDÉSONIDE";"Forme inhalable";"1mg";20;"1mg";20;1;15.625;1876840;NA;29325625
2209299;"suspension pour inhalation par nébuliseur";"BUDÉSONIDE";"MYLAN";"3400922092997";"60724061";"BUDESONIDE MYLAN 1 mg/2 ml, suspension pour inhalation par nébuliseur en récipient unidose";"20 récipient(s) unidose(s) polyéthylène basse densité (PEBD) de 2 ml";3051;"116";"1229.25";NA;NA;"0";"0";"0";"0";"0";2020-04-15;NA;"0";NA;NA;"BUDÉSONIDE";"Forme inhalable";"1mg";20;"1mg";20;1;15.625;61020;NA;953437.5
2213728;"comprimé pelliculé à libération prolongée";"CHLORHYDRATE DE ROPINIROLE";"EG LABO";"3400922137285";"60623831";"ROPINIROLE EG LP 2 mg, comprimé pelliculé à libération prolongée";"plaquette(s) PVC polychlortrifluoroéthylène aluminium de 28 comprimé(s)";2101;"35";"445.142857142857";NA;NA;NA;NA;"0";"0";"0";2020-05-04;NA;"0";"0";NA;"ROPINIROLE";"Forme orale sèche";"2mg";28;"2mg";28;2;8;58828;NA;470624
2214656;"poudre pour solution injectable";"CEFTRIAXONE SODIQUE ANHYDRE";"LABORATOIRES GERDA";"3400922146560";"64915021";"CEFTRIAXONE GERDA 1 g, poudre pour solution injectable";"10 flacon(s) en verre";5147;NA;"200";NA;NA;NA;NA;NA;NA;NA;2020-05-04;0;NA;NA;NA;"CEFTRIAXONE";"Forme injectable";"1000mg";10;"1000mg";10;1000;4;51470;0;205880
2214656;"poudre pour solution injectable";"CEFTRIAXONE SODIQUE ANHYDRE";"LABORATOIRES GERDA";"3400922146560";"64915021";"CEFTRIAXONE GERDA 1 g, poudre pour solution injectable";"10 flacon(s) en verre";5147;NA;"200";NA;NA;NA;NA;NA;NA;NA;2020-04-23;0;NA;NA;NA;"CEFTRIAXONE";"Forme injectable";"1000mg";10;"1000mg";10;1000;4;51470;0;205880
2219079;"solution injectable";"INTERFÉRON BÊTA-1A";"MERCK SERONO";"3400922190792";"63866728";"REBIF 22 microgrammes, solution injectable en stylo prérempli";"12 seringue(s) préremplie(s) en verre de 0,5 ml dans stylo jetable avec aiguille(s) acier";240;"18";"78";NA;NA;NA;NA;NA;NA;NA;2020-04-23;NA;NA;NA;NA;"INTERFÉRON BÊTA-1A";"Forme injectable";"0,022mg";12;"0,022mg";12;0.022;2.5;2880;NA;7200
2219079;"solution injectable";"INTERFÉRON BÊTA-1A";"MERCK SERONO";"3400922190792";"63866728";"REBIF 22 microgrammes, solution injectable en stylo prérempli";"12 seringue(s) préremplie(s) en verre de 0,5 ml dans stylo jetable avec aiguille(s) acier";201;"28";NA;NA;NA;NA;NA;NA;NA;NA;2020-05-04;NA;NA;NA;NA;"INTERFÉRON BÊTA-1A";"Forme injectable";"0,022mg";12;"0,022mg";12;0.022;2.5;2412;NA;6030
2219079;"solution injectable";"INTERFÉRON BÊTA-1A";"MERCK SERONO";"3400922190792";"63866728";"REBIF 22 microgrammes, solution injectable en stylo prérempli";"12 seringue(s) préremplie(s) en verre de 0,5 ml dans stylo jetable avec aiguille(s) acier";277;"9";"88.94";NA;NA;NA;NA;NA;NA;NA;2020-04-15;NA;NA;NA;NA;"INTERFÉRON BÊTA-1A";"Forme injectable";"0,022mg";12;"0,022mg";12;0.022;2.5;3324;NA;8310
2219091;"solution injectable";"INTERFÉRON BÊTA-1A";"MERCK SERONO";"3400922190914";"68975699";"REBIF 44 microgrammes, solution injectable en stylo prérempli";"12 seringue(s) préremplie(s) en verre de 0,5 ml dans stylo jetable avec aiguille(s) acier";466;"52";"187";NA;NA;NA;NA;NA;NA;NA;2020-04-23;NA;NA;NA;NA;"INTERFÉRON BÊTA-1A";"Forme injectable";"0,044mg";12;"0,044mg";12;0.044;5;5592;NA;27960
2219091;"solution injectable";"INTERFÉRON BÊTA-1A";"MERCK SERONO";"3400922190914";"68975699";"REBIF 44 microgrammes, solution injectable en stylo prérempli";"12 seringue(s) préremplie(s) en verre de 0,5 ml dans stylo jetable avec aiguille(s) acier";407;"44";NA;NA;NA;NA;NA;NA;NA;NA;2020-05-04;NA;NA;NA;NA;"INTERFÉRON BÊTA-1A";"Forme injectable";"0,044mg";12;"0,044mg";12;0.044;5;4884;NA;24420
2219091;"solution injectable";"INTERFÉRON BÊTA-1A";"MERCK SERONO";"3400922190914";"68975699";"REBIF 44 microgrammes, solution injectable en stylo prérempli";"12 seringue(s) préremplie(s) en verre de 0,5 ml dans stylo jetable avec aiguille(s) acier";539;"42";"201.32";NA;NA;NA;NA;NA;NA;NA;2020-04-15;NA;NA;NA;NA;"INTERFÉRON BÊTA-1A";"Forme injectable";"0,044mg";12;"0,044mg";12;0.044;5;6468;NA;32340
2219116;"solution et  solution injectable";"INTERFÉRON BÊTA-1A ;INTERFÉRON BÊTA-1A";"MERCK SERONO";"3400922191164";"69483042";"REBIF 8,8 microgrammes, solution injectable en stylo prérempli / REBIF 22 microgrammes, solution injectable en stylo prérempli";"6 seringue(s) préremplie(s) en verre de 0,2 ml dans stylo jetable avec aiguille(s) acier - 6 seringue(s) préremplie(s) en verre de 0,5 ml dans stylo jetable avec aiguille(s) acier";43;"3";"4";NA;NA;NA;NA;NA;NA;NA;2020-04-15;NA;NA;NA;NA;"INTERFÉRON BÊTA-1A";"Forme injectable";"8,8microgrammes;22microgrammes";6;"8,8microgrammes;22microgrammes";6;0.0088;1;258;NA;258
2219116;"solution et  solution injectable";"INTERFÉRON BÊTA-1A ;INTERFÉRON BÊTA-1A";"MERCK SERONO";"3400922191164";"69483042";"REBIF 8,8 microgrammes, solution injectable en stylo prérempli / REBIF 22 microgrammes, solution injectable en stylo prérempli";"6 seringue(s) préremplie(s) en verre de 0,2 ml dans stylo jetable avec aiguille(s) acier - 6 seringue(s) préremplie(s) en verre de 0,5 ml dans stylo jetable avec aiguille(s) acier";41;"2";"3.67";NA;NA;NA;NA;NA;NA;NA;2020-04-23;NA;NA;NA;NA;"INTERFÉRON BÊTA-1A";"Forme injectable";"8,8microgrammes;22microgrammes";6;"8,8microgrammes;22microgrammes";6;0.0088;1;246;NA;246
2225832;"suspension pour inhalation par nébuliseur";"BUDÉSONIDE";"EVOLUPHARM";"3400922258324";"65306016";"BUDESONIDE EVOLUGEN 0,5 mg/2 ml, suspension pour inhalation par nébuliseur en récipient unidose";"20 récipient(s) unidose(s) polyéthylène basse densité (PEBD) de 2 ml";2172;"3";"177";NA;NA;NA;NA;NA;NA;NA;2020-04-23;NA;NA;NA;NA;"BUDÉSONIDE";"Forme inhalable";"0,5mg";20;"0,5mg";20;0.5;7.8125;43440;NA;339375
2225832;"suspension pour inhalation par nébuliseur";"BUDÉSONIDE";"EVOLUPHARM";"3400922258324";"65306016";"BUDESONIDE EVOLUGEN 0,5 mg/2 ml, suspension pour inhalation par nébuliseur en récipient unidose";"20 récipient(s) unidose(s) polyéthylène basse densité (PEBD) de 2 ml";2180;"4";"177";NA;NA;NA;NA;NA;NA;NA;2020-04-15;NA;NA;NA;NA;"BUDÉSONIDE";"Forme inhalable";"0,5mg";20;"0,5mg";20;0.5;7.8125;43600;NA;340625
2225832;"suspension pour inhalation par nébuliseur";"BUDESONIDE";"EVOLUPHARM";"3400922258324";"65306016";"BUDESONIDE EVOLUGEN 0,5 mg/2 ml, suspension pour inhalation par nébuliseur en récipient unidose";"20 récipient(s) unidose(s) polyéthylène basse densité (PEBD) de 2 ml";2169;"2";"177";NA;NA;NA;NA;NA;NA;NA;2020-05-04;NA;NA;NA;NA;"BUDÉSONIDE";"Forme inhalable";"0,5mg";20;"0,5mg";20;0.5;7.8125;43380;NA;338906.25
2225849;"suspension pour inhalation par nébuliseur";"BUDÉSONIDE";"EVOLUPHARM";"3400922258492";"67803383";"BUDESONIDE EVOLUGEN 1 mg/2 ml, suspension pour inhalation par nébuliseur en récipient unidose";"20 récipient(s) unidose(s) polyéthylène basse densité (PEBD) de 2 ml";1022;"71";"515";NA;NA;NA;NA;NA;NA;NA;2020-04-23;NA;"5000";NA;NA;"BUDÉSONIDE";"Forme inhalable";"1mg";20;"1mg";20;1;15.625;20440;NA;319375
